orden,division,grupo,clase,subclase,producto,descripcion,ponderacion,etiqueta,nivel
557,10,105,1050,10502,,Otra educación no definida por nivel,0.006986,Otra educación no definida por nivel,subclase
558,10,105,1050,10502,10502001,"Cursos de música, canto, baile, artes plásticas",0.001463,"Cursos de música, canto, baile, artes plá…",producto
559,10,105,1050,10502,10502002,Enseñanza de idiomas,0.002675,Enseñanza de idiomas,producto
560,10,105,1050,10502,10502003,Enseñanza comercial,0.001943,Enseñanza comercial,producto
561,10,105,1050,10502,10502004,Clases particulares de apoyo a estudiantes,0.000905,Clases particulares de apoyo a estudiantes,producto
562,11,,,,,RESTAURANTES Y SERVICIOS DE ALOJAMIENTO,0.083084,Restaur. y alojam.,division
563,11,111,,,,Servicios de alimentos y bebidas,0.080028,Servicios de alimentos y bebidas,grupo
564,11,111,1111,,,"Restaurantes, cafés y similares",0.080028,"Restaurantes, cafés y similares",clase
565,11,111,1111,11111,,"Restaurantes, cafés y similares",0.080028,"Restaurantes, cafés y similares",subclase
566,11,111,1111,11111,11111001,RH Sandwiches,0.002227,RH Sandwiches,producto
567,11,111,1111,11111,11111002,RH Medias lunas y tortugas rellenas,0.001354,RH Medias lunas y tortugas rellenas,producto
568,11,111,1111,11111,11111003,RH Sandwiches calientes,0.000844,RH Sandwiches calientes,producto
569,11,111,1111,11111,11111004,"RH Café, café con leche, capuchino",0.002056,"RH Café, café con leche, capuchino",producto
570,11,111,1111,11111,11111005,RH Chivito,0.002917,RH Chivito,producto
571,11,111,1111,11111,11111006,RH Milanesa,0.008602,RH Milanesa,producto
572,11,111,1111,11111,11111007,RH Frankfurter al pan,0.000763,RH Frankfurter al pan,producto
573,11,111,1111,11111,11111008,RH Hamburguesa de carne roja al pan,0.002341,RH Hamburguesa de carne roja al pan,producto
574,11,111,1111,11111,11111009,"RH Tarta salada, porción",0.004433,"RH Tarta salada, porción",producto
575,11,111,1111,11111,11111010,RH Empanadas,0.004629,RH Empanadas,producto
576,11,111,1111,11111,11111011,RH Carnes rojas con guarnición,0.003038,RH Carnes rojas con guarnición,producto
577,11,111,1111,11111,11111012,RH Pescado con guarnición,0.00261,RH Pescado con guarnición,producto
578,11,111,1111,11111,11111013,RH Pollo con guarnición,0.003606,RH Pollo con guarnición,producto
579,11,111,1111,11111,11111014,RH Plato de pasta,0.004784,RH Plato de pasta,producto
580,11,111,1111,11111,11111015,RH Comida de Olla,0.001213,RH Comida de Olla,producto
581,11,111,1111,11111,11111016,RH Ensalada completa,0.001745,RH Ensalada completa,producto
582,11,111,1111,11111,11111017,"RH Papas fritas, porción",0.001783,"RH Papas fritas, porción",producto
583,11,111,1111,11111,11111018,RH Asado a la parrillada,0.003612,RH Asado a la parrillada,producto
584,11,111,1111,11111,11111019,"RH Pollo al spiedo, entero",0.001209,"RH Pollo al spiedo, entero",producto
585,11,111,1111,11111,11111020,RH Fainá porción,0.00048,RH Fainá porción,producto
586,11,111,1111,11111,11111021,RH Pizza porción,0.003005,RH Pizza porción,producto
587,11,111,1111,11111,11111022,"RH Muzzarella, porción",0.002216,"RH Muzzarella, porción",producto
588,11,111,1111,11111,11111023,RH Pizzeta grande o familiar,0.005273,RH Pizzeta grande o familiar,producto
589,11,111,1111,11111,11111024,RH Menú ejecutivo,0.001476,RH Menú ejecutivo,producto
590,11,111,1111,11111,11111025,"RH Combo de hamburguesa, papas fritas y refresco",0.003535,"RH Combo de hambu., papas fritas y refr.",producto
591,11,111,1111,11111,11111026,RH Helado barrita o cucurucho,0.000735,RH Helado barrita o cucurucho,producto
592,11,111,1111,11111,11111027,"RH Helado copa, cassata, vasito, bochas",0.000812,"RH Helado copa, cassata, vasito, bochas",producto
593,11,111,1111,11111,11111028,RH Torta dulce porción,0.000847,RH Torta dulce porción,producto
594,11,111,1111,11111,11111029,RH Postres,0.001266,RH Postres,producto
595,11,111,1111,11111,11111030,RH Agua de mesa,0.000736,RH Agua de mesa,producto
596,11,111,1111,11111,11111031,RH Refrescos,0.003057,RH Refrescos,producto
597,11,111,1111,11111,11111032,RH Cerveza,0.001689,RH Cerveza,producto
598,11,111,1111,11111,11111033,RH Vino,0.00025,RH Vino,producto
599,11,111,1111,11111,11111034,"RH Whisky, tragos, otras bebidas blancas",0.000885,"RH Whisky, tragos, otras bebidas blancas",producto
600,11,112,,,,Servicios de alojamiento,0.003056,Servicios de alojamiento,grupo
601,11,112,1120,,,Servicios de alojamiento,0.003056,Servicios de alojamiento,clase
602,11,112,1120,11201,,"Hoteles, moteles, posadas y servicios de alojamiento similares",0.003056,"Hoteles, moteles, posadas y serv. de …",subclase
603,11,112,1120,11201,11201001,Hotel,0.003056,Hotel,producto
604,12,,,,,SEGUROS Y SERVICIOS FINANCIEROS,0.056905,Seguros y finanzas,division
605,12,121,,,,Seguros,0.035934,Seguros,grupo
606,12,121,1211,,,Seguro de vida y accidentes,0.002688,Seguro de vida y accidentes,clase
607,12,121,1211,12110,,Seguro de vida y accidentes,0.002688,Seguro de vida y accidentes,subclase
608,12,121,1211,12110,12110001,Previsión de servicios fúnebres,0.002688,Previsión de servicios fúnebres,producto
609,12,121,1212,,,Seguro relacionado con la salud,0.02338,Seguro relacionado con la salud,clase
610,12,121,1212,12120,,Seguro relacionado con la salud,0.02338,Seguro relacionado con la salud,subclase
611,12,121,1212,12120,12120000,Cuota mutual,0.004875,Cuota mutual,producto
612,12,121,1212,12120,12120001,Cuota de seguros integrales de salud privados,0.007766,Cuota de seguros integ. de salud priv.,producto
613,12,121,1212,12120,12120002,Cuota de Emergencia Médico Móvil,0.005136,Cuota de Emergencia Médico Móvil,producto
614,12,121,1212,12120,12120003,Servicio de acompañante,0.005603,Servicio de acompañante,producto
615,12,121,1213,,,Seguro relacionado con la vivienda,0.000606,Seguro relacionado con la vivienda,clase
616,12,121,1213,12130,,Seguro relacionado con la vivienda,0.000606,Seguro relacionado con la vivienda,subclase
617,12,121,1213,12130,12130000,Seguro de vivienda,0.000606,Seguro de vivienda,producto
618,12,121,1214,,,Seguro relacionado con el transporte,0.00926,Seguro relacionado con el transporte,clase
619,12,121,1214,12141,,Seguro de transporte personal,0.00926,Seguro de transporte personal,subclase
620,12,121,1214,12141,12141000,Seguro de automóvil,0.00926,Seguro de automóvil,producto
621,12,122,,,,Servicios financieros,0.020971,Servicios financieros,grupo
622,12,122,1222,,,Cargos explícitos por corporaciones captadoras de depósitos,0.018787,Cargos explí. por corpo. capta. de depó.,clase
623,12,122,1222,12220,,Cargos explícitos por corporaciones captadoras de depósitos,0.018787,Cargos explí. por corpo. capta. de depó.,subclase
624,12,122,1222,12220,12220001,Pagos por servicios bancarios y de casas bancarias,0.018787,Pagos por serv. banc. y de casas banc.,producto
625,12,122,1229,,,Otros servicios financieros,0.002184,Otros servicios financieros,clase
626,12,122,1229,12299,,Otros servicios financieros,0.002184,Otros servicios financieros,subclase
627,12,122,1229,12299,12299001,Costo o renovación de tarjeta de crédito o débito,0.002184,Costo o renov. de tarjeta de crédito o dé…,producto
628,13,,,,,"CUIDADO PERSONAL, PROTECCIÓN SOCIAL Y BIENES DIVERSOS",0.043528,"Cuid. pers., prot. soc., bienes div.",division
629,13,131,,,,Cuidado personal,0.036256,Cuidado personal,grupo
630,13,131,1312,,,"Otros aparatos, artículos y productos para el cuidado personal",0.026871,"Otros apar., artí. y prod. para …",clase
631,13,131,1312,13120,,"Otros aparatos, artículos y productos para el cuidado personal",0.026871,"Otros apar., artí. y prod. para …",subclase
632,13,131,1312,13120,13120001,"Talco, polvo para los pies",0.000241,"Talco, polvo para los pies",producto
633,13,131,1312,13120,13120002,"Jabón de tocador, líquido o en barra, gel de ducha",0.002318,"Jabón de tocador, líquido o en barra, gel…",producto
634,13,131,1312,13120,13120003,Espuma de afeitar,0.001894,Espuma de afeitar,producto
635,13,131,1312,13120,13120004,Pasta dental,0.002458,Pasta dental,producto
636,13,131,1312,13120,13120005,"Shampoo, acondicionador, savia, cremas para el cabello",0.004454,"Shampoo, acond., savia, cremas para el ca…",producto
637,13,131,1312,13120,13120006,Desodorantes y antitranspirantes,0.003634,Desodorantes y antitranspirantes,producto
638,13,131,1312,13120,13120007,Papel higiénico,0.002798,Papel higiénico,producto
639,13,131,1312,13120,13120008,"Toallas higiénicas femeninas, protectores diarios, tampones",0.001724,"Toallas higié. feme., prote. diarios, tam…",producto
640,13,131,1312,13120,13120009,Pañales desechables,0.00258,Pañales desechables,producto
641,13,131,1312,13120,13120010,Cosméticos y perfumes,0.002004,Cosméticos y perfumes,producto
642,13,131,1312,13120,13120011,"Cremas para la piel, hidratantes, nutritivas",0.001156,"Cremas para la piel, hidra., nutri.",producto
643,13,131,1312,13120,13120012,Protectores solares,0.000585,Protectores solares,producto
644,13,131,1312,13120,13120013,"Tintas, gel, cera, espuma, modelador para el cabello",0.001025,"Tintas, gel, cera, espuma…",producto
645,13,131,1313,,,Salones de peluquería y establecimientos de acicalamiento personal,0.009385,Salones de peluq. y estab. de acica. pers.,clase
646,13,131,1313,13131,,Peluquería,0.008531,Peluquería,subclase
647,13,131,1313,13131,13131001,"Peluquería de hombre, niño",0.001897,"Peluquería de hombre, niño",producto
648,13,131,1313,13131,13131002,Peluquería de mujer,0.006634,Peluquería de mujer,producto
649,13,131,1313,13132,,Tratamientos de acicalamiento personal,0.000854,Tratamientos de acicalamiento personal,subclase
650,13,131,1313,13132,13132001,"Depilación, pedicuría, manicuría",0.000854,"Depilación, pedicuría, manicuría",producto
651,13,132,,,,Efectos personales NCP,0.001325,Efectos personales NCP,grupo
652,13,132,1321,,,Joyas y relojes,0.000439,Joyas y relojes,clase
653,13,132,1321,13211,,Joyas y relojes,0.000439,Joyas y relojes,subclase
654,13,132,1321,13211,13211001,"Joyas, bijouterie",0.000439,"Joyas, bijouterie",producto
655,13,132,1329,,,Otros efectos personales,0.000886,Otros efectos personales,clase
656,13,132,1329,13291,,Artículos de viaje y artículos para bebés y otros efectos personales.,0.000886,Artí. de viaje y artí. para bebés y otros…,subclase
657,13,132,1329,13291,13291001,Carteras,0.000445,Carteras,producto
658,13,132,1329,13291,13291002,Mochila,0.000441,Mochila,producto
659,13,133,,,,Protección social,0.000897,Protección social,grupo
660,13,133,1330,,,Protección social,0.000897,Protección social,clase
661,13,133,1330,13302,,Residencias no médicas para ancianos y residencias para discapacitados,0.000897,Resid. no médicas para anci. y resid. par…,subclase
662,13,133,1330,13302,13302001,Residenciales de ancianos,0.000897,Residenciales de ancianos,producto
663,13,139,,,,Otros servicios NEP,0.00505,Otros servicios NEP,grupo
664,13,139,1390,,,Otros servicios NEP,0.00505,Otros servicios NEP,clase
665,13,139,1390,13909,,Otros servicios NEP,0.00505,Otros servicios NEP,subclase
666,13,139,1390,13909,13909001,Servicios de abogados,0.001375,Servicios de abogados,producto
667,13,139,1390,13909,13909002,Servicios de escribanos,0.002902,Servicios de escribanos,producto
668,13,139,1390,13909,13909003,Trámite para obtención del pasaporte,0.000773,Trámite para obtención del pasaporte,producto
