orden,division,grupo,clase,subclase,producto,descripcion,ponderacion,etiqueta,nivel
342,5,053,0531,05312,05312001,Lavarropas,0.001558,Lavarropas,producto
343,5,053,0531,05313,,"Calentadroes, aires acondicionados",0.002341,"Calentadroes, aires acondicionados",subclase
344,5,053,0531,05313,05313001,Calefón eléctrico,0.001177,Calefón eléctrico,producto
345,5,053,0531,05313,05313002,Equipo de aire acondicionado,0.001164,Equipo de aire acondicionado,producto
346,5,053,0532,,,Pequeños electrodomésticos,0.000871,Pequeños electrodomésticos,clase
347,5,053,0532,05322,,Pequeños electrodomésticos para preparar bebidas,0.000871,Pequ. elect. para prep. bebidas,subclase
348,5,053,0532,05322,05322001,Cafetera y jarra eléctrica,0.000871,Cafetera y jarra eléctrica,producto
349,5,054,,,,"Cristalería, vajilla y utensilios domésticos",0.00131,"Crist., vajilla y utens. do…",grupo
350,5,054,0540,,,"Cristalería, vajilla y utensilios domésticos",0.00131,"Crist., vajilla y utens. do…",clase
351,5,054,0540,05401,,"Cristalería, cerámica y loza, vajilla",0.000644,"Cristalería, cerámica y loza, vajilla",subclase
352,5,054,0540,05401,05401001,"Ollas, caldera, etc.",0.000644,"Ollas, caldera, etc.",producto
353,5,054,0540,05403,,Utensilios y artículos de cocina no eléctricos.,0.000666,Utens. y artí. de cocina no eléct.,subclase
354,5,054,0540,05403,05403001,"Mate, termo, bombilla",0.000666,"Mate, termo, bombilla",producto
355,5,055,,,,Herramientas y equipos para casa y jardín,0.002141,Herramientas y equipos para casa y jardín,grupo
356,5,055,0551,,,Herramientas y equipos  motorizados,0.000811,Herramientas y equipos  motorizados,clase
357,5,055,0551,05510,,Herramientas y equipos  motorizados,0.000811,Herramientas y equipos  motorizados,subclase
358,5,055,0551,05510,05510001,"Taladro, sierra, lijadora, pulidora y cortadora de césped",0.000811,"Taladro, sierra, lija., puli. y cort. de …",producto
359,5,055,0552,,,Herramientas no motorizadas y accesorios varios,0.00133,Herra. no motor. y acces. varios,clase
360,5,055,0552,05522,,Accesorios varios,0.00133,Accesorios varios,subclase
361,5,055,0552,05522,05522001,"Tubos fluorescentes, lámparas eléctricas",0.000743,"Tubos fluorescentes, lámparas eléctricas",producto
362,5,055,0552,05522,05522002,Pilas y baterías para uso general,0.000587,Pilas y baterías para uso general,producto
363,5,056,,,,Bienes y servicios para el mantenimiento rutinario del hogar,0.033229,Bienes y serv. para el mante. ruti. del h…,grupo
364,5,056,0561,,,Artículos para el hogar no duraderos,0.011361,Artículos para el hogar no duraderos,clase
365,5,056,0561,05611,,Productos de limpieza y mantenimiento,0.011361,Productos de limpieza y mantenimiento,subclase
366,5,056,0561,05611,05611001,"Jabones de limpieza en polvo y en barra, suavizante",0.004071,"Jabones de limp. en…, suavi.",producto
367,5,056,0561,05611,05611002,Blanqueador líquido,0.001192,Blanqueador líquido,producto
368,5,056,0561,05611,05611003,Detergente,0.001502,Detergente,producto
369,5,056,0561,05611,05611004,"Desengrasadores, desinfectantes, desodorante de ambiente",0.001964,"Desen., desin., desod. de ambi.",producto
370,5,056,0561,05611,05611005,"Insecticidas, líquidos o en pastillas y aparatos",0.001431,"Insec., líqu. o en past. y …",producto
371,5,056,0561,05611,05611006,"Paños de limpieza, franelas, esponjas",0.000549,"Paños de limpieza, franelas, esponjas",producto
372,5,056,0561,05611,05611007,Papel de cocina,0.000652,Papel de cocina,producto
373,5,056,0562,,,Servicio doméstico,0.021868,Servicio doméstico,clase
374,5,056,0562,05621,,Servicio doméstico por personal remunerado,0.021868,Servicio doméstico por personal remunerado,subclase
375,5,056,0562,05621,05621001,Servicio doméstico,0.021868,Servicio doméstico,producto
376,6,,,,,SALUD,0.038537,Salud,division
377,6,061,,,,Medicamentos y productos sanitarios,0.021128,Medicamentos y productos sanitarios,grupo
378,6,061,0611,,,Medicamentos,0.017539,Medicamentos,clase
379,6,061,0611,06111,,"Medicamentos, vacunas y otras preparaciones farmacéuticas.",0.017539,"Medic., vacunas y otras pre…",subclase
380,6,061,0611,06111,06111001,Analgésicos,0.003071,Analgésicos,producto
381,6,061,0611,06111,06111002,Antibióticos,0.000664,Antibióticos,producto
382,6,061,0611,06111,06111003,Antiácidos y digestivos,0.000585,Antiácidos y digestivos,producto
383,6,061,0611,06111,06111004,Antigripales,0.00076,Antigripales,producto
384,6,061,0611,06111,06111005,Psicofármacos,0.000581,Psicofármacos,producto
385,6,061,0611,06111,06111006,Medicamentos para afecciones respiratorias,0.000549,Medicamentos para afecciones respiratorias,producto
386,6,061,0611,06111,06111007,"Anticonceptivos orales, parches",0.000872,"Anticonceptivos orales, parches",producto
387,6,061,0611,06111,06111008,Preservativos,0.000298,Preservativos,producto
